first_name,last_name,email,street_address,city,state,zipcode,phone_number
Allison,Nguyen,arannon@jumpstartlab.com,3155 19th St NW,Washington,DC,20010,6154385000
SArah,Hankins,pinalevitsky@jumpstartlab.com,2022 15th Street NW,Washington,DC,20009,4145205000
Sarah,Xx,lqrm4462@jumpstartlab.com,4175 3rd Street North,Saint Petersburg,FL,33703,9419792000
David,Thomas,gdlia.lepping@jumpstartlab.com,9 garrison ave,Jersey City,NJ,07306,6507990000
Chris,Sackett,fpmorgan07@jumpstartlab.com,173 Daly Ave,Ottawa,ON,00000,6135654000
Aya,Fuller,jtex@jumpstartlab.com,2-1325 Barclay Street,Vancouver,BC,90210,7782327000
Mary Kate,Curry,wmppydaymaker@jumpstartlab.com,1509 Jackson Street,Baltimore,MD,21230,2023281000
Audrey,Hasegan,ffbbieucf@jumpstartlab.com,1570 Old Ranch Rd.,Placerville,CA,95667,5309193000
Shiyu,Armideo,odfarg06@jumpstartlab.com,644 Ikemaka PL,Kailua,HI,96734,8084974000
Eli,Zielke,jbrabeth.buckley@jumpstartlab.com,3024 Cranbrook Ct,La Jolla,CA,92037,8584053000
Colin,Harmston,qkristie.lencsak@jumpstartlab.com,34 blue heron drive,attleboro,MA,02703,4018685000
Megan,Doe,wkganize@jumpstartlab.com,64 King Ave,Columbus,OH,43201,3154506000
Meggie,Tippit,dgsanshamel@jumpstartlab.com,28 Olive Ave.,Piedmont,CA,94611,5102824000
Laura,Rapetsky,ikr08@jumpstartlab.com,Urb Monte Carlo c/15#1287,San Juan,PR,00924,7872950000
Paul,Fulghum,cnroh@jumpstartlab.com,shohadaye sadeghiye,Tehran,YK,14517,Bad number entry.
Shannon,Warner,gkjordandc@jumpstartlab.com,186 Crooked S Road,Lyndeborough,NH,03082,6033053000
Shannon,Davis,ltb3@jumpstartlab.com,Campion 1108 914 E. Jefferson,Seattle,WA,98122,5303557000
Nash,Okaty,qdansonlm@jumpstartlab.com,914 E Jefferson ST,Seattle,WA,98122,2062263000
Amanda,Hartzell,nqm17@jumpstartlab.com,3515 School St,Valois,NY,14841,6072802000
