LAST NAME,FIRST NAME,EMAIL,ZIPCODE,CITY,STATE,ADDRESS,PHONE,DISTRICT
panek,michael,dntisler@jumpstartlab.com,1434 wilson ave.,salt lake city,ut,84105,8013626000,N/A
cebulski,kate,orazrya1@jumpstartlab.com,1033 barbara pl apt 2,salt lake city,ut,84102,8015505000,N/A
engel,megan,bgc64@jumpstartlab.com,219 elizabeth st.,salt lake city,ut,84102,8015505000,N/A
gilbert,kristen,tpollins6@jumpstartlab.com,1343 ashwood circle,salt lake city,ut,84121,8015505000,N/A
myett,student,wjang@jumpstartlab.com,834 e. pond view way,salt lake city,ut,84106,8015505000,N/A
xx,adrienne,rrthleen.oflaherty@jumpstartlab.com,1213 medical plaza,salt lake city,ut,84121,8015505000,N/A
ludmer,eileen,mhulger@jumpstartlab.com,723 11th avenue,salt lake city,ut,84103,8015505000,N/A
boozel,alex,jyhiang@jumpstartlab.com,220 a street,salt lake city,ut,84103,8015505000,N/A
berkley,susan,ceebst.4@jumpstartlab.com,1033 barbara pl,salt lake city,ut,84102,8015505000,N/A
kopkin,emma,sxcoffey@jumpstartlab.com,1033 barbara pl,salt lake city,ut,84102,8015505000,N/A
armacost,kate,hgle.saud@jumpstartlab.com,1033 barbara pl,salt lake city,ut,84102,8015505000,N/A
woolworth,lindsey,eoeal@jumpstartlab.com,350 south 200 east #406,salt lake city,ut,84111,8013594000,N/A
wynn,rich,vkrenzo.serna@jumpstartlab.com,2887 wainwright road,salt lake city,ut,84109,8015505000,N/A
